The lowest temperature ever measured is -37.8 ° C on January 15, 1957.	La temperatura más baxo enxamás midida ye de -37,8 °C el 15 de xineru de 1957.
Why University of Oulu?	¿Por qué la Universidá d'Uviéu?
adm1st Administrative unit of country, 1st level (province, state), see table, e.g. U.S. states 1:1,000,000	adm1st División alministrativa de primer nivel d'un país (por casu: provincia, estáu o comunidá autónoma, (dependiendo del país) 1:1.000.000
Amount to pay (USD):	Cantidá a pagar (USD):
In 572, all of Syria had been conquered by the Neo-Babylonians, but the status of Damascus under Babylon is relatively unknown.[29]	En 572, toa Siria fueren conquistada polos neo-babilonios, pero l'estáu de Damascu baxu control de Babilonia yera relativamente desconocíu.[15]
After Japan's defeat in World War II, Deng traveled to Chongqing, the city in which Chiang Kai-shek established his government during the Japanese invasion, to participate in peace talks between the Kuomintang and the Communist Party.	Tres la derrota de Xapón na Segunda Guerra Mundial, Deng Xiaoping viaxó a Chongqing, la ciudá na que Chiang Kai-shek estableciera'l so gobiernu mientres la invasión xaponesa, pa participar nes conversaciones de paz ente'l Kuomintang y el Partíu Comunista.
1859, the Origin of Species was published.	En 1859, el L'orixe de les especies foi publicáu.
In 1807, slave trading was abolished throughout the British Empire and the British tried unsuccessfully to end the slave trade in The Gambia.	En 1807 abolióse'l comerciu d'esclavos nel Imperiu Británicu intentando los británicos finar col comerciu d'esclavos en Gambia.
copy files (from file manager for example) and paste in this area	copiar los ficheros (dende'l xestor de ficheros por exemplu) y pegalos n'esta área
Less well known is that the region was one of the earliest to begin industrialization in continental Europe, beginning with textile-related works from the mid-1780s but really gathering momentum in the mid-19th century, when it became a major center for the production of textiles and machinery.	Menos conocío ye que la rexón foi una de les primeres n'entamar la industrialización na Europa continental, de magar de la industria testil dende mediaos de 1780, pero en realidá coyiendo puxu a mediaos del sieglu XIX, cuando se tornó nun importante centru pal aniciu de testiles y maquinaria.
Trump owns commercial space in Trump International Hotel and Tower, a 44-story mixed-use (hotel and condominium) tower on Columbus Circle.	Trump tien propiedaes na Trump International Hotel and Tower, un edificiu de 44 pisos d'usu mistu (hotel y condominiu) en Columbus Circle.
a good conductor of heat and electricity	Ye bon conductor del calor y l'electricidá.
East Africa is the most eastern region of the African continent.	África Oriental ye la rexón más oriental del continente africanu.
Diamonds can also be produced synthetically in a high-pressure high-temperature process which approximately simulates the conditions in the Earth mantle.	Los diamantes tamién pueden ser producíos sintéticamente nun procesu d'alta presión y alta temperatura qu'asemeya aprosimao les condiciones nel mantu de la Tierra.
Heisenberg was awarded the Nobel Prize in Physics in 1932.	Heisenberg foi galardonáu col Premiu Nobel de Física en 1932.
Forms of Nationalism Civic nationalism (also civil nationalism) is the form of nationalism in which the state derives political legitimacy from the active participation of its citizenry, the "will of the people"; "political representation".	El nacionalismu cívicu (tamién nomáu Nacionalismu Civil o Nacionalismu políticu) ye la forma del nacionalismu según la que l'estáu deriva la so llexitimidá política de la participación activa de los sos ciudadanos, la "voluntá del pueblu"; representación política.
He was appointed to a committee with Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman, to draft a Declaration of Independence.	Foi nomáu pa un comité con Thomas Jefferson, Benjamín Franklin, Robert R. Livingston y Roger Sherman, col fin d'ellaborar una Declaración d'Independencia.
East Timor finally became independent on May 20, 2002.	Timor Oriental - Conviértese formalmente n'estáu independiente'l 20 de mayu de 2002.
You could build a hand-held six-shooter to fire bullets that would explode on contact with the force of 10 tons of TNT."[67]	Puede construyise una pistola de seis tiros que dispare bales qu'esploten al contactu con una fuerza de 10 tonelaes de TNT.»[63]
At least 2.8m people die each year as a result of being overweight or obese.	Cada añu finen a lo menos 2,8 millones de persones adultes de resultes del sobrepesu o la obesidá.
He received his early education at the boarding school, Institute of Martinus Herman van Doorn, in Apeldoorn.	Recibió la so educación primaria nel Institutu de Martinnus Herman van Doorn.
In 2001, Carter criticized President Bill Clinton's controversial pardon of Marc Rich, calling it "disgraceful" and suggesting that Rich's financial contributions to the Democratic Party were a factor in Clinton's action.[116]	En 2001, Carter criticó'l revesosu indultu de Marc Rich, aprobáu pol presidente Bill Clinton, calificándolo de "vergonzosu" suxuriendo que les contribuciones financieres de Rich al Partíu Demócrata fueron un factor na decisión de Clinton.
In the September election, Sihanouk's new party decisively defeated the Democrats, the Khmer Independence Party of Son Ngoc Thanh, and the leftist Pracheachon Party, winning 83% of the vote and all of the seats in the National Assembly.	Finalmente, nes elecciones de setiembre, el nuevu partíu de Sihanouk ganó decisivamente a los demócrates, al Partíu Independentista de Son Ngoc Thanh, y al izquierdista Partíu Pracheachon, llogrando'l 83 per cientu de los votos y tolos escaños na Asamblea Nacional.
Copy selected files from %1 to:	Copiar ficheros escoyíos de% 1 a:
1792 – King Louis XVI of France is formally arrested by the National Tribunal, and declared an enemy of the people.	1792 - El rei Lluis XVI de Francia ye arrestáu pol Tribunal Nacional y declaráu enemigu del pueblu.
Euler was born in Basel to Paul Euler, a pastor of the Reformed Church, and Marguerite Brucker, a pastor's daughter.	Euler nació en Basilea (Suiza), fíu de Paul Euler, un pastor calvinista, y de Marguerite Brucker, fía d'otru pregueru.
Occupies 80% of the surface area of Portugal.	Ocupa'l 80 % de la superficie olivarera portuguesa.
White settlers began to establish cotton plantations in Florida, which required numerous laborers, which they supplied by buying slaves in the domestic market.	Blanco settlers empezó pa establecer plantíos d'algodón en Florida, que riquió peones numberosos, que suministraron por mercar esclavos nel mercáu domésticu.
In the film, Feldman reprises his role of vampire hunter Edgar Frog.	Na película Corey Feldman retomó'l so papel del cazador de vampiros Edgar Frog.
The woman in the photo is Florence Owens Thompson	[2] la muyer de la foto ye Florence Owens Thompson.
His painting later evolved towards "Synthetism" in which neither form nor colour predominate each having an equal role.	La so pintura dempués evolucionó escontra'l Sintetismu nel cual nin la forma nin el color predominen sinón que cada unu tien un papel equivalente.
Her next film in wide release, He's Just Not That into You, where she starred opposite Ben Affleck, opened in February 2009.	La so siguiente película He's Just Not That Into You, onde yera protagonista xunta Ben Affleck, estrenóse en febreru de 2009.
As a general in the subsequent War of 1812, his most notable contribution was a victory at the Battle of the Thames in 1813, which brought an end to hostilities in his region.	Como xeneral na guerra de 1812, la so más notable contribución foi la victoria na Batalla del Támesis en 1813, lo que terminó coles hostilidaes na rexón.
Slavery was abolished in Cuba in 1886.	Nel añu 1886 abolióse en Cuba.
"Those that can give up essential liberty to gain a little temporary safety deserve neither liberty nor safety." --Benjamin Franklin	"Quienes pueden arrenunciar a la so llibertá esencial pa llograr una pequeña seguridá temporal nun merecen nin llibertá nin seguridá" Benjamin Franklin
With a maximum of €2.5 million per award it is one of the highest endowed research prizes in the world.[179]	Con una axudicación máxima de 2,5 millones d'euros, ye unu de los premios d'investigación más altamente dotaos nel mundu.[25]
They were a peace agreement between Israel and Egypt negotiated by President Carter, which followed up on earlier negotiations conducted in the Middle East.	Los alcuerdos fueron un conveniu de paz ente Israel y Exiptu axustáu por Carter, que remató les negociaciones anteriores, realizaes en Oriente Mediu.
The French cavalry, commanded by General Marguerite, launched three desperate attacks on the nearby village of Floing where the Prussian XI Corps was concentrated.	La caballería francesa, comandada pol xeneral Marguerite, llanzó trés ataques desesperaos na cercana aldega de Floing, onde se concentrara'l XI Cuerpu Prusianu.
In 1811 and 1812, three earthquakes measuring around 8 on the richter scale, caused the Mississippi River to flow backwards.	Trés terremotos en 1811 y 1812, estimaos n'aprosimadamente de gráu 8 na escala Richter, invirtieren temporalmente'l cursu del Mississippi.
Tiberius settles a dispute between Messenia and Sparta over the Ager Dentheliales on Mount Taygetus.	L'emperador Tiberiu resuelve una disputa ente Mesenia y Esparta sobre'l Ager Dentheliales nel monte Taigetu, reconociendo la tierra a Mesenia.
Later, she earned Masters in Fine Arts degree from Yale School of Drama.	Subsecuentemente, graduar con una Maestría en Belles Artes na Escuela de Drama de la Universidá de Yale.
Georg August Goldfuss (Goldfuß, 18 April 1782 – 2 October 1848) was a German palaeontologist, zoologist and botanist.	Georg August Goldfuss ( 18 d'abril de 1782 - 2 d'ochobre de 1848) foi un naturalista, paleontólogu y zoólogu alemán.
The content of any given article may recently have been changed, vandalized or altered by someone whose opinion does not correspond with the state of knowledge about the relevant topic.	El conteníu de cualquier artículu, pue tar recientemente camudáu, vandalizáu o alteráu por daquién del que la so opinión pue non corresponder col estáu de los conocimientos nes estayes pertinentes.
One day, Cézanne was caught in a storm while working in the field.Only after working for two hours under a downpour did he decide to go home; but on the way he collapsed.	Un día, Cézanne viose atrapáu por una nube mientres trabayaba nel campu.[11] Namá dempués de trabayar mientres dos hores sol bastiu decidió tornar a casa; pero nel camín esmorecióse.
Russell's influence is also evident in the work of A. J. Ayer, Rudolph Carnap, Kurt Gödel, Karl Popper, W. V. Quine, and a number of other philosophers and logicians.	La influencia de Russell tamién rescampla nel trabayu d'A. J. Ayeri, Carnap, Kurt Gödel, Karl Popper, W. V. Quine, y otros filósofos y lóxicos.
