For the Chinese people, this is very important especially in the traditional and cultural sense.	Per al poble Xinès, això és molt important, especialment en el tradicional i cultural sentit.
Restored on different occasions, in 1933 important building work was undertaken, such as is shown in the "goigs" dedicated to the archangel.	Restaurada en diverses ocasions, l'any 1933 s'efectuaren unes obres de consolidació ben importants, tal com s'indica en els goigs dedicats a l'arcàngel.
Fear of continuing Muslim migration, however, led the military authorities to attack France's remaining clients in 1890.	La por d'aquesta contínua emigració musulmana, tanmateix, va portar a les autoritats militars a atacar els mateixos protegits de França el 1890.
I usually do not write like this.	Habitualment no escric així.
It is also known as Vallabhipura, and was the capital of ancient Maitraka dynasty.	És també coneguda com a Vallabhipura, i fou la capital de l'antiga dinastia Maitraka.
I ask him what he thinks is going to happen.	Li demano què creu que passarà.
The Surprise Menu, which includes 7 courses, where you can sit back and relax while Paul will surprise you with the Con Gracia flavours time and time again. The Tradition Menu, a choice of 7 courses.	El menú Sorpresa, que inclou 7 plats, perquè us assegueu ben còmodament mentre el Paul us va soprenent plat rere plat amb els sabors de Con Gracia. El menú Tradicional, una selecció de 7 plats.
From a local hospital to a worldwide care service	De l'hospital local al servei assistencial global
Will there be a fourth season?	Hi haurà quarta temporada ?
Aqua Fitness Swimsuits	Banyadors Aqua Fitness
The Balkans Peninsula	La Península dels Balcans
The retiarius tunicatus in the satire is the opposite: "a mock gladiatorial figure, of equivocal sex, regularly dressed in costume of some sort, possibly usually as a woman, and matched against a secutor or murmillo in a mock gladiatorial exhibition."	Per contra, el retiarius tunicatus de la sàtira és: "una figura de gladiador de broma, de sexualitat equívoca, regularment vestit amb vestits d'algun tipus, possiblement de dona, i enfrontat a un secutor o unmurmil·lo en una paròdia de combat de gladiadors.
Here’s what you need to know about the festival and parade.	Aquí va tot el que heu de saber sobre el cartell i el festival.
Andressa Alves da Silva (born 10 November 1992), commonly known as Andressa Alves or simply Andressa, is a Brazilian football forward who plays for Primera División club FC Barcelona.	Andressa Alves da Silva (São Paulo, 10 novembre de 1992), generalment coneguda com Andressa Alves o senzillament Andressa, és una futbolista brasilera que juga de davantera al FC Barcelona de la Primera divisió femenina.
I never did you anything.	jo que mai us vaig fer res
have at least five years of service.	Han de tindre almenys 5 anys de serveis.
“Of course there’s disappointment.	"És clar que hi ha decepció.
How to motivate children to learn	Com motivar als nens a estudiar
See wikipedia's guide to writing better articles for suggestions.	Consulteu la guia de Wikipedia a escriure millors articles per a suggeriments.
…declared Lord Bertrand Russell to define the spirit and the objective of the International War Crimes Tribunal constituted in 1966 to investigate crimes committed in Vietnam and judge them according to international law.	…va declarar Bertrand Russell per definir l’esperit i l’objectiu del Tribunal Internacional de Crims de Guerra constituït el 1966 per a investigar els crims comesos a Vietnam i jutjar-los d’acord a la legislació internacional.
Caribbean Latin America	Amèrica Llatina caribenya
1 Early Years in America	2 Els primers anys a Amèrica
Rent 1.900€ - Apartment	Lloguer 1.900€ - Pis
A very large and productive class of verbs in Neo-Mandaic consists of a verbal element and a non-verbal element, which form a single semantic and syntactic unit.	Una gran i productiva varietat de verbs en mandeo es constitueixen d'un element verbal i un altre no verbal, els quals integren una sola unitat semàntica i sintàctica.
Bus (stopping in front of the C.N. Atlètic Barceloneta): Lines V15,39 and 64.	Autobús (amb parada davant del C.N. Atlètic Barceloneta): Línies V15, 39 i 64.
The leaves of the trees never stirred, the cicadas trilled, and the monotonous dull sound of the sea, coming up from below, spoke of the rest, the eternal sleep awaiting us.	Les fulles dels arbres no es bellugaven, els grills cantaven, i la remor sorda i monòtona del mar, que arribava de baix, parlava de la calma, del son etern que ens espera.
What is a promoter?	Què és un promotor?
However, Juan de Maldonado renamed it as San Juan de las Nieves.	No obstant això, Juan de Maldonado li va canviar el nom després a San Juan de las Nieves.
Is this Leadership?	Hi ha aquest lideratge?
We care less about the more distant future, but to approach it at all we must divest ourselves of so many customary forms, that even the more enlightened prophets let their imagination stop in some static Utopia in despite of all evidence pointing to ever increasing acceleration of change.	Ens preocupam menys del futur més distant, però en adreçar-nos hi a la fi ens hem d'allunyar de tantes formes que ens són habituals, que fins i tot els profetes més il·luminats fan aturar la llur imaginació en una utopia estàtica malgrat que totes les proves assenyalen a una acceleració creixent del canvi.
The next step for the project is to choose the most efficient design.	El següent pas per al projecte és triar el disseny més eficient.
The data communication is linked to the very purpose for which the data has been entered and thus related to the free and legitimate acceptance of the legal relationship between stakeholders and the responsible for the file, whose development, compliance and control involve necessarily the connection data which includes the necessary transmission thereof.	La comunicació de les dades està lligada amb la finalitat mateixa per la qual les dades han estat introduïdes i per tant relacionada amb la lliure i legítima acceptació de la relació jurídica existent entre els interessats i el Responsable del fitxer, el desenvolupament, compliment i control impliquen necessàriament la connexió de les dades i que inclou la transmissió necessària dels mateixos.
Cardano is a unique project in that it’s a distinct effort to change the way in which cryptocurrencies are designed and developed.	Cardano és un projecte únic en què es tracta d'un esforç diferent per canviar la forma en què cryptocurrencies estan dissenyats i desenvolupats.
Full simulation of Zoll AED 3TM with Real CPR Help technology and real-time CPR information	Simulació completa del Zoll AED 3TM amb la tecnologia Reial CPR Help i informació sobre la RCP en temps real
AtlasAction: Get in touch with Aurat Raaj here to help out or share your story.	Acció AtlasAction: Contacta Aurat Raaj per ajudar o compartir la teva història.
Feminism is not evil.	El feminisme no és dolent.
You can go to the associated discussion page to discuss the redirect.	Podeu anar a la pàgina de discussió per debatre el redireccionament.
According to him, it is necessary to eat Jesus: "He who eats me, will live because of me."	Segons ell, cal menjar a Jesús: «El que em menja a mi viurà gràcies a mi».
"As soon as the land of any country has all become private property, the landlords, like all other men, love to reap where they never sowed, and demand a rent even for its natural produce."	“Tan aviat com la terra d'un país ha esdevinguda completament propietat privada, els terratinents, com tots els altres homes, s'estimen de recollir allà on mai no han llaurat, i demanen una renda fins i tot pel seu producte natural...”
