In Ancient Greece, Olympia was sacred ground to the Greeks.	Olympia bola pre starých Grékov posvätným územím.
Greater flexibility and maximizing space	Maximálna flexibilita a využitie priestoru
Over time [my sound] got cleaner and cleaner, so now I’m on the Vox AC30 with very little distortion.	Postupom času sa môj zvuk stal čistejší a čistejší, takže teraz som na Vox AC30 s veľmi malým skreslením.
We have big windows throughout the house.	V celom dome je mnoho veľkých okien.
When all players have received their cards the first betting round will begin.	Potom, čo každý hráč dostal svoje karty, prvé kolo stávok sa môže začať.
The first series of petitions carries us toward him, for his own sake: thy name, thy kingdom, thy will!	Prvá skupina prosieb nás privádza k nemu pre neho samého: tvoje meno, tvoje kráľovstvo, tvoja vôľa!
The Committee does not believe that the action plan outlined in the communication will deliver the outcomes intended unless responsibility for implementing it is vested in an appropriate regulatory authority.	Výbor sa nazdáva, že akčný plán uvedený v oznámení neprinesie očakávané výsledky, ak zodpovednosťou za jeho realizáciu nebude poverený vhodný regulačný orgán.
A Member State may issue the special permit for fishing for cod referred to in point 2.1.1 only to Community vessels holding in 2005 a special permit for fishing for cod in the Baltic Sea in accordance with point 6.2.1 of Annex III to Council Regulation (EC) No 27/2005 of 22 December 2004 fixing for 2005 the fishing opportunities and associated conditions for certain fish stocks and groups of fish stocks, applicable in Community waters and, for Community vessels, in waters where catch limitations are required.	Členský štát môže vydať zvláštne povolenie na lov tresky uvedené v bode 2.1.1. iba plavidlám Spoločenstva, ktoré v roku 2005 vlastnili zvláštne povolenie na lov tresky v Baltskom mori v súlade s bodom 6.2.1 prílohy III k nariadeniu Rady (ES) č. 27/2005 z 22. decembra 2004, ktorým sa na rok 2005 stanovujú príležitosti na rybolov a príslušné podmienky pre určité násadové ryby a skupiny násadových rýb uplatniteľné vo vodách Spoločenstva a pre plavidlá Spoločenstva vo vodách, v ktorých sa vyžaduje obmedzovanie úlovkov.
It is only now, in the wake of more recent Basque separatist and secessionist movements in Spain, that first-language usage of Basque has seen an increase.	Až teraz, v dôsledku nedávnych baskických separatistických a secesionistických hnutí v Španielsku, prvé používanie jazyka Baskicko zaznamenalo nárast.
According to a major study on the PSA test could save lives when used to screen men aged 50-60 years.	Podľa rozsiahlej štúdie na teste PSA môže zachrániť životy, ak je použitý na obrazovke mužov vo veku 50-60 rokov.
So what about you and your company?	A čo vy a vaša spoločnosť?
The New Apostolic Church offers each of its members individual pastoral care.	Novoapoštolská cirkev ponúka každému členovi individuálne zaopatrenie duše.
Judgment of the Court of First Instance (Fourth Chamber) of 27 June 2007 — Nuova Gela Sviluppo v Commission, Case T-65/04 (ERDF — Conclusion of Community financial assistance — Action for annulment — Action for damages —Arbitration clause) . . . . . . . . . . . . . . . . . .	Rozsudok Súdu prvého stupňa (štvrtá komora) z 27. júna 2007 — Nuova Gela Sviluppo/Komisia, vec T-65/04 („EFRR — Zastavenie finančnej pomoci Spoločenstva — Žaloba o neplatnosť — Žaloba o náhradu škody — Arbitrážna doložka“) . . . . . . . . . . . . . . . . . . . . . . . . . .
Next time I'll be driving.	Nabudúce šoférujem ja.
R. whereas the Union has still not acceded to the ECHR, in spite of its obligation to do so under Article 6(2) TEU;	R. keďže Únia ešte stále nepristúpila k EDĽP napriek povinnosti tak urobiť podľa článku 6 ods. 2 Zmluvy o EÚ;
Scientific tests have also shown it can assist to burn additional fat, rise energy degrees and reduce appetite.	Klinické skúšky ukázali, môže pomôcť spáliť extra tuku, zvýšenie energetickej hladiny a potlačiť chuť k jedlu.
For such a direction would be appropriate and small patches of dark shades.	Pre takýto smer by boli vhodné a malé škvrny tmavých odtieňov.
If necessary, without prejudice to the final date for notification indicated in the request for notification, the requested authority shall ask the applicant authority to provide additional information.	Dožiadaný orgán v prípade potreby požiada dožadujúci orgán o poskytnutie ďalších informácií, bez toho, aby tým bol ovplyvnený konečný termín oznámenia uvedený v žiadosti o oznámenie.
He learns to communicate with relatives, other kinds of animals and, above all, with man.	Musí sa naučiť komunikovať s príbuznými, iné druhy zvierat, a predovšetkým ľudské bytosti.
